balaga,fiqh,milal,nodom,osol,philo,qadaya,sarf,tarikh
595,614,665,605,644,552,566,621,638
596,619,666,606,645,553,567,622,640
597,620,667,607,646,554,568,627,641
598,623,668,608,649,555,569,628,642
599,624,669,609,647,556,570,629,652
600,625,670,610,648,557,571,630,653
601,626,671,615,650,559,572,632,654
602,643,672,616,651,558,573,633,655
603,674,673,617,657,560,574,634,656
604,675,,618,658,561,,635,660
591,676,,,659,562,,636,661
592,,,,,563,,637,662
593,,,,,564,,,663
594,,,,,565,,,664
,,,,,583,,,
